date,symbol,open,high,low,close,volume,amount,return
2021-04-13,000333,64.87,65.59,64.19,64.66,21362828.0,1686748572.0,-0.007673419275629256
2021-04-14,000333,64.89,66.26,64.83,65.84,21069229.0,1685738018.0,0.018249304051964232
2021-04-15,000333,65.84,66.56,64.88,65.97,17445281.0,1393503616.0,0.001974483596597798
2021-04-16,000333,65.98,66.23,64.83,65.66,15347818.0,1222574469.0,-0.004699105654085267
2021-04-19,000333,65.74,67.47,64.92,67.11,26759356.0,2175802611.0,0.022083460249771703
2021-04-20,000333,66.63,66.97,65.76,66.54,23153386.0,1866628042.0,-0.008493518104604303
2021-04-21,000333,65.74,66.15,65.33,65.41,25190606.0,2010416383.0,-0.01698226630598154
2021-04-22,000333,65.43,65.98,64.92,65.94,23096878.0,1841507581.0,0.008102736584620018
2021-04-23,000333,66.08,69.02,65.95,68.91,45141558.0,3741273480.0,0.045040946314831576
2021-04-26,000333,69.22,69.85,65.66,65.76,41802919.0,3424838079.0,-0.04571179799738778
2021-04-27,000333,65.71,67.08,65.08,66.33,19000053.0,1531692781.0,0.008667883211678662
2021-04-28,000333,66.56,67.13,65.8,67.01,17902575.0,1452688937.0,0.010251771445801472
2021-04-29,000333,67.43,69.23,67.27,68.56,29815963.0,2474034002.0,0.023130875988658373
2021-04-30,000333,69.6,69.6,65.57,65.88,58237700.0,4702118111.0,-0.0390898483080514
2021-05-06,000333,64.35,65.55,63.68,63.73,49115946.0,3841342540.0,-0.032635094110503915
2021-05-07,000333,63.6,63.72,61.63,61.69,43729514.0,3308412783.0,-0.032010042366232505
2021-05-10,000333,62.31,65.08,62.31,64.09,54943986.0,4265793301.0,0.038904198411412017
2021-05-11,000333,63.4,64.92,62.94,64.37,27333464.0,2127125363.0,0.004368856295833945
2021-05-12,000333,64.83,64.83,62.82,63.49,27341035.0,2106351405.0,-0.01367096473512508
2021-05-13,000333,62.55,62.86,61.63,61.75,32950762.0,2482149422.0,-0.0274058906914475
2021-05-14,000333,61.88,62.92,60.5,62.81,30481113.0,2297770136.0,0.017165991902833966
2021-05-17,000333,63.27,65.2,63.17,64.42,41809230.0,3276114961.0,0.025632861009393437
2021-05-18,000333,65.57,65.74,63.44,63.96,26855515.0,2106345389.0,-0.0071406395529338695
2021-05-19,000333,63.31,63.9,62.86,63.54,22505269.0,1736145799.0,-0.0065666041275798115
