date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-12,12.09,12.2,12.01,12.1,18028053.0,253994956.0,2901516856.0000005,0.006213320099354266
2021-04-13,12.1,12.61,12.06,12.47,39321667.0,567975852.0,2901516856.0000005,0.013552107036251522
2021-04-14,12.55,12.61,12.39,12.48,25284207.0,366703971.0,2901516856.0000005,0.008714134108066679
2021-04-15,12.51,12.51,12.27,12.37,17286651.0,247934976.0,2901516856.0000005,0.005957797889146571
2021-04-16,12.3,12.47,12.18,12.39,20806978.0,298206179.0,2901516856.0000005,0.007171069145083056
2021-04-19,12.35,12.68,12.31,12.66,39046248.0,571262478.0,2901516856.0000005,0.01345718461681754
2021-04-20,12.61,12.63,12.31,12.37,30087646.0,435341983.0,2901516856.0000005,0.010369626472368146
2021-04-21,12.33,12.43,12.26,12.41,15932459.0,228807129.0,2901516856.0000005,0.005491079249480672
2021-04-22,12.42,12.46,12.14,12.2,23861192.0,339874399.0,2901516856.0000005,0.008223695806094602
2021-04-23,12.18,12.27,12.1,12.2,16440790.0,232648379.0,2901516856.0000005,0.005666274164839799
2021-04-26,12.23,12.54,12.15,12.35,38313427.0,551009481.0,2901516856.0000005,0.013204619825238056
2021-04-27,12.34,12.42,12.24,12.41,19335434.0,277321997.0,2901516856.0000005,0.006663905453458443
2021-04-28,12.42,12.59,12.35,12.52,28748343.0,418105500.0,2901516856.0000005,0.009908039286606852
2021-04-29,12.61,12.74,12.42,12.65,39341288.0,576630482.0,2901516856.0000005,0.013558869361260741
2021-04-30,12.61,12.67,11.68,11.84,66760523.0,938402551.0,2901516856.0000005,0.02300883514150434
2021-05-06,11.71,11.81,11.54,11.76,35018920.0,474411016.0,2901516856.0000005,0.0120691768264537
2021-05-07,11.76,11.76,11.56,11.57,21729325.0,293740998.0,2901516856.0000005,0.0074889535640870995
2021-05-10,11.62,11.71,11.5,11.63,21500414.0,289705299.0,2901516856.0000005,0.007410060002077753
2021-05-11,11.57,11.66,11.5,11.61,14472681.0,194792084.0,2901516856.0000005,0.004987970678189298
2021-05-12,11.55,11.64,11.5,11.63,19886438.0,267809373.0,2901516856.0000005,0.006853807503781049
2021-05-13,11.56,11.68,11.45,11.51,18708092.0,250740040.0,2901516856.0000005,0.006447693716241501
2021-05-14,11.53,11.65,11.5,11.6,20464257.0,275652743.0,2901516856.0000005,0.0070529512719122375
2021-05-17,11.58,11.64,11.4,11.44,36717802.0,491935222.0,2901516856.0000005,0.012654691949857827
2021-05-18,11.45,11.54,11.27,11.49,21584679.0,286088513.0,2901516856.0000005,0.0074391017082549036
2021-05-19,11.44,11.44,11.35,11.37,15419777.0,203870799.0,2901516856.0000005,0.005314384773644753
2021-05-20,11.36,11.42,11.3,11.37,16864236.0,222503997.0,2901516856.0000005,0.00581221369268516
2021-05-21,11.37,11.42,11.27,11.28,21814640.0,286658081.0,2901516856.0000005,0.007518357149947226
2021-05-24,11.28,11.29,10.67,10.8,57530243.0,731885927.0,2901516856.0000005,0.019827643903234313
2021-05-25,10.81,10.9,10.64,10.88,42442746.0,533564249.0,2901516856.0000005,0.014627778540122323
2021-05-26,10.81,10.93,10.74,10.81,30688608.0,387040396.0,2901516856.0000005,0.010576746413359452
2021-05-27,10.78,10.94,10.73,10.86,34481041.0,433751585.0,2929562194.0,0.011770032078725004
2021-05-28,10.81,10.83,10.57,10.63,46190973.0,573385651.0,2929562194.0,0.015767193164426808
2021-05-31,10.65,10.69,10.57,10.69,26453683.0,326846621.0,2929562194.0,0.009029910016650084
2021-06-01,10.69,10.71,10.6,10.7,23087387.0,286058065.0,2929562194.0,0.007880831834628734
2021-06-02,10.69,10.69,10.51,10.51,34894224.0,428250979.0,2929562194.0,0.011911071241793886
2021-06-03,10.51,10.62,10.46,10.55,21625613.0,265199683.0,2929562194.0,0.007381858300974511
2021-06-04,10.51,10.62,10.46,10.51,24962267.0,305141001.0,2929562194.0,0.008520818247560987
2021-06-07,10.52,10.79,10.52,10.75,49823680.0,621052987.0,2929562194.0,0.017007210190670558
2021-06-08,10.81,10.89,10.69,10.76,37659240.0,472218518.0,3038492194.0,0.012394055207502041
2021-06-09,10.73,10.86,10.69,10.79,25691575.0,321637695.0,3038492194.0,0.008455369755674284
2021-06-10,10.76,10.84,10.7,10.81,29400176.0,368286456.0,3038492194.0,0.009675909669294349
2021-06-11,10.81,10.87,10.71,10.76,38834802.0,486887080.0,3038492194.0,0.012780945126890788
2021-06-15,10.76,11.03,10.73,10.8,30118201.0,379710225.0,3038492194.0,0.009912219310443948
2021-06-16,10.76,10.8,10.52,10.6,24555466.0,304306474.0,3038492194.0,0.008081464236929351
2021-06-17,10.59,10.74,10.56,10.71,21209989.0,262522450.0,3038492194.0,0.006980432282130787
2021-06-18,10.74,10.88,10.62,10.75,26943944.0,336681296.0,3038492194.0,0.008867537673193706
2021-06-21,10.67,10.74,10.6,10.65,23567423.0,291736342.0,3038492194.0,0.007756288808816996
2021-06-22,10.64,10.73,10.52,10.59,25642801.0,315931355.0,3038492194.0,0.008439317715094317
2021-06-23,10.6,10.88,10.57,10.81,36559434.0,456582820.0,3038492194.0,0.012032097390999584
2021-06-24,10.85,10.92,10.77,10.9,28608594.0,361324880.0,3038492194.0,0.009415391639475773
2021-06-25,10.92,11.02,10.78,10.85,27521329.0,348129452.0,3038492194.0,0.00905756119905306
2021-06-28,10.89,10.94,10.76,10.82,17796715.0,223675817.0,3038492194.0,0.005857087615739979
2021-06-29,10.82,10.86,10.67,10.68,19882690.0,247636192.0,3038492194.0,0.006543604107083646
2021-06-30,10.71,10.75,10.62,10.68,14173023.0,175642044.0,3038808454.0,0.004664006703464304
2021-07-01,10.69,10.72,10.58,10.58,18279247.0,225600272.0,3038808454.0,0.0060152679172453035
2021-07-02,10.57,10.58,10.27,10.3,45007444.0,543119416.0,3038808454.0,0.0148108854774168
2021-07-05,10.28,10.51,10.28,10.49,22842664.0,276003626.0,3038808454.0,0.007516980535555664
2021-07-06,10.49,10.53,10.4,10.52,14351561.0,174741834.0,3038808454.0,0.004722759337170121
2021-07-07,10.49,10.51,10.42,10.45,15339221.0,186277322.0,3038808454.0,0.005047774886833983
2021-07-08,10.46,10.56,10.33,10.35,22734279.0,275245235.0,3038808454.0,0.007481313595160874
2021-07-09,10.34,10.41,10.25,10.28,23385956.0,279900834.0,3038808454.0,0.007695765084902584
2021-07-12,10.33,10.39,10.27,10.33,30460747.0,365782463.0,3038808454.0,0.01002391149725293
2021-07-13,10.34,10.43,10.3,10.36,24598569.0,296168243.0,3038808454.0,0.008094807347143178
2021-07-14,10.33,10.35,9.99,10.02,50578824.0,593750700.0,3038808454.0,0.016644294882562544
2021-07-15,10.03,10.13,9.82,10.11,32822534.0,381233681.0,3038808454.0,0.01080111974704938
2021-07-16,10.08,10.13,9.87,9.89,32241238.0,373468548.0,3038808454.0,0.010609828980026919
2021-07-19,9.9,9.97,9.72,9.95,26118598.0,299094560.0,3038808454.0,0.00859501294516275
2021-07-20,9.9,10.11,9.88,10.08,21392160.0,249745274.0,3038819985.0,0.00703962725847349
2021-07-21,10.07,10.18,10.04,10.13,20351126.0,239412418.0,3038819985.0,0.006697048887547052
2021-07-22,10.12,10.21,10.07,10.08,21113313.0,248831878.0,3038819985.0,0.006947865653187087
2021-07-23,10.07,10.2,9.95,10.12,20568963.0,240795407.0,3038819985.0,0.0067687336207906375
2021-07-26,10.14,10.18,9.87,10.0,23281277.0,270679999.0,3038819985.0,0.0076612886300996205
2021-07-27,10.05,10.17,9.88,9.92,30750250.0,351271357.0,3038819985.0,0.01011914169045456
2021-07-28,9.92,10.02,9.63,9.67,46159962.0,513175445.0,3038819985.0,0.015190094256274283
2021-07-29,9.72,9.82,9.59,9.66,33818529.0,372450488.0,3038819985.0,0.011128835918854206
2021-07-30,9.64,9.96,9.43,9.87,39428848.0,436842630.0,3038819985.0,0.01297505222245009
2021-08-02,9.87,10.5,9.83,10.39,58757719.0,685076327.0,3038819985.0,0.01933570244043265
2021-08-03,10.42,10.48,10.31,10.4,35174923.0,415832316.0,3038819985.0,0.011575191414308144
2021-08-04,10.37,10.52,10.31,10.47,31902453.0,378643016.0,3038819985.0,0.010498303011522415
2021-08-05,10.53,10.71,10.37,10.42,36773834.0,440480065.0,3038819985.0,0.01210135321655126
2021-08-06,10.4,10.48,10.25,10.4,26133843.0,307203277.0,3038819985.0,0.00859999708077476
2021-08-09,10.38,10.68,10.31,10.58,29411999.0,353081765.0,3038819985.0,0.009678756604596965
2021-08-10,10.6,10.69,10.44,10.68,28105731.0,338260592.0,3038819985.0,0.009248896327763226
2021-08-11,10.76,10.82,10.34,10.36,56499345.0,675888815.0,3038819985.0,0.018592527783444862
2021-08-12,10.34,10.46,10.27,10.33,27161827.0,319543863.0,3038819985.0,0.008938281021605168
2021-08-13,10.32,10.52,10.23,10.41,26500591.0,312476786.0,3038819985.0,0.008720684716702625
2021-08-16,10.44,10.82,10.44,10.79,63708828.0,777486676.0,3038819985.0,0.020964989145284958
2021-08-17,10.79,10.87,10.55,10.57,44617303.0,542165802.0,3038819985.0,0.014682443586733223
2021-08-18,10.56,10.83,10.5,10.77,44654203.0,541987640.0,3038819985.0,0.014694586458039238
2021-08-19,10.73,10.73,10.4,10.42,41432791.0,494530562.0,3038819985.0,0.013634499971869838
2021-08-20,10.45,10.5,10.34,10.45,26624850.0,315612415.0,3038819985.0,0.008761575259944199
2021-08-23,10.52,10.65,10.42,10.59,28121606.0,338051585.0,3038819985.0,0.009254120395025637
2021-08-24,10.68,10.73,10.53,10.6,23576501.0,284375832.0,3038819985.0,0.0077584394983502124
2021-08-25,10.58,10.62,10.43,10.53,23301013.0,278294956.0,3038819985.0,0.007667783256335271
