date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-12,25.29,25.47,24.2,24.25,5943407.0,208713912.0,681503594.0,0.008721020772782601
2021-04-13,24.42,25.12,23.82,23.93,6565167.0,227753236.0,681503594.0,0.009633356386965731
2021-04-14,23.95,24.28,23.79,24.23,3546102.0,121627170.0,681503594.0,0.005203350402287093
2021-04-15,24.2,24.2,23.6,23.85,4460824.0,150822229.0,681503594.0,0.006545561959281465
2021-04-16,23.99,24.34,23.74,23.95,4055988.0,137938458.0,681503594.0,0.005951528408227294
2021-04-19,23.79,24.29,23.79,24.18,6794163.0,232570551.0,681503594.0,0.009969372223149274
2021-04-20,24.13,24.15,23.53,23.56,7564217.0,255095856.0,681503594.0,0.011099306102852336
2021-04-21,23.47,23.52,23.14,23.14,5280427.0,174387143.0,681503594.0,0.007748201251598976
2021-04-22,23.27,23.84,23.18,23.69,5231406.0,174906898.0,681503594.0,0.007676270596454111
2021-04-23,23.49,23.5,22.97,22.98,7035661.0,231555716.0,681503594.0,0.010323732790175132
2021-04-26,22.98,23.67,22.63,23.34,8292041.0,273115472.0,681503594.0,0.012167274058425583
2021-04-27,23.16,23.23,22.06,22.89,10550593.0,338257672.0,681503594.0,0.015481346089570292
2021-04-28,23.08,23.13,22.61,22.87,5077032.0,165036134.0,681503594.0,0.00744975088128442
2021-04-29,22.96,24.62,22.9,24.23,14958752.0,508719143.0,681503594.0,0.021949630393291807
2021-04-30,24.49,24.72,23.9,24.1,10958330.0,377842949.0,681503594.0,0.0160796364046761
2021-05-06,24.47,24.87,24.15,24.28,8659016.0,301272661.0,681503594.0,0.01270575250994201
2021-05-07,24.48,24.48,23.74,23.77,7048028.0,239355875.0,681503594.0,0.010341879429618972
2021-05-10,23.49,23.49,22.21,22.37,7789151.0,250008436.0,681503594.0,0.011429361588957373
2021-05-11,22.13,23.94,22.12,23.29,8490665.0,279198792.0,681503594.0,0.012458723731983723
2021-05-12,23.39,23.49,22.82,23.15,4353279.0,143003951.0,681503594.0,0.006387756481882912
2021-05-13,22.92,25.06,22.84,24.28,11404880.0,393114164.0,681503594.0,0.01673487873051481
2021-05-14,24.55,24.77,24.11,24.64,9114776.0,316820445.0,681503594.0,0.013374509071187672
2021-05-17,24.8,25.49,24.67,25.16,8788227.0,313258939.0,681503594.0,0.01289534945577998
2021-05-18,25.01,25.37,24.66,25.08,4714926.0,167748005.0,681503594.0,0.006918416926206261
2021-05-19,25.08,25.81,24.87,24.95,5615902.0,202087835.0,681503594.0,0.00824045837680498
2021-05-20,25.12,25.92,25.12,25.77,8561193.0,311899990.0,681503594.0,0.012562212547920913
2021-05-21,25.8,26.28,25.5,26.04,8624417.0,318159056.0,681503594.0,0.012654983885528857
2021-05-24,26.26,26.33,25.64,26.16,6404572.0,236726714.0,681503594.0,0.009397708326685655
2021-05-25,26.13,27.18,25.99,26.81,8213261.0,310976519.0,681503594.0,0.012051676722338752
2021-05-26,26.73,27.04,26.63,26.85,5331250.0,203038534.0,681503594.0,0.007822776060077535
2021-05-27,26.97,28.74,26.95,28.39,10304052.0,410142643.0,681503594.0,0.01511958570830369
2021-05-28,27.96,29.23,27.94,28.25,9723497.0,393489808.0,681503594.0,0.014267711990965671
2021-05-31,28.42,29.26,28.4,29.02,8800757.0,361584651.0,681503594.0,0.012913735272245682
2021-06-01,28.99,29.36,27.8,28.71,11933805.0,487263319.0,681503594.0,0.017510993493014507
2021-06-02,28.88,29.22,28.4,28.67,5427163.0,221387585.0,681503594.0,0.007963513395646157
2021-06-03,28.61,29.42,28.52,28.72,4940794.0,202690242.0,681503594.0,0.007249842911319995
2021-06-04,29.16,29.41,28.76,29.14,4781047.0,197662916.0,681503594.0,0.00701543915849107
2021-06-07,29.28,29.59,28.23,28.65,5843861.0,237697805.0,681503594.0,0.00857495257757951
2021-06-08,28.88,28.9,27.51,28.04,6387787.0,254840873.0,681503594.0,0.009373078962808815
2021-06-09,28.02,28.34,27.71,27.93,4100835.0,162244600.0,681503594.0,0.006017334370800105
2021-06-10,28.09,28.72,27.71,28.12,8113768.0,323397473.0,681503594.0,0.011905686296351359
