date,open,high,low,close,volume,amount,outstanding_share,turnover
2021-04-12,19.8,19.86,19.5,19.55,59000998.0,1386702568.0,9814661700.0,0.006011516219657373
2021-04-13,19.55,19.65,19.46,19.6,46245147.0,1078853329.0,9814661700.0,0.00471184320087161
2021-04-14,19.6,19.92,19.59,19.78,50417531.0,1190093273.0,9814661700.0,0.005136960655505834
2021-04-15,19.73,19.76,19.5,19.61,48101445.0,1123290223.0,9814661700.0,0.0049009784005087
2021-04-16,19.64,19.93,19.61,19.86,51971974.0,1226250915.0,9814661700.0,0.005295340337609395
2021-04-19,19.8,20.19,19.72,20.15,84798817.0,2026806627.0,9814661700.0,0.008640014255407296
2021-04-20,20.04,20.26,19.91,19.94,62818308.0,1500891625.0,9814661700.0,0.0064004557589590685
2021-04-21,19.82,19.94,19.76,19.8,40765320.0,963694035.0,9814661700.0,0.004153512494475485
2021-04-22,19.91,19.93,19.65,19.7,54543894.0,1286346764.0,9814661700.0,0.005557389104914334
2021-04-23,19.65,19.76,19.57,19.63,49375978.0,1155874943.0,9814661700.0,0.005030838505620627
2021-04-26,19.62,19.8,19.31,19.34,71499774.0,1667558787.0,9814661700.0,0.007284996282653329
2021-04-27,19.34,19.37,19.03,19.08,70618507.0,1611466439.0,9814661700.0,0.0071952054139573654
2021-04-28,19.09,19.19,18.95,19.19,48516953.0,1102788248.0,9814661700.0,0.004943313838315996
2021-04-29,19.29,20.1,19.23,19.96,159256538.0,3762356956.0,9814661700.0,0.01622639097178459
2021-04-30,19.8,20.2,19.74,20.01,106939646.0,2550243520.0,9814661700.0,0.010895907497249752
2021-05-06,20.23,20.46,19.99,20.13,98138630.0,2364329450.0,9814661700.0,0.009999186217493366
2021-05-07,20.06,20.18,19.56,19.66,83755798.0,1982046012.0,9814661700.0,0.008533742737154149
2021-05-10,19.74,20.07,19.66,19.94,66267619.0,1567994299.0,9814661700.0,0.006751900475591532
2021-05-11,19.74,20.2,19.52,20.02,68055603.0,1610726663.0,9814661700.0,0.006934075272304088
2021-05-12,19.92,20.12,19.84,20.08,57021920.0,1360121546.0,9814661700.0,0.005809871164484457
2021-05-13,19.91,20.09,19.76,19.82,55686038.0,1321510279.0,9814661700.0,0.005673760309028278
2021-05-14,19.99,21.54,19.97,21.34,332616383.0,8260003590.0,9814661700.0,0.033889745073943815
2021-05-17,20.97,21.01,20.62,20.88,212858427.0,5282182312.0,9814661700.0,0.02168780071146008
2021-05-18,20.74,21.14,20.64,20.78,92557501.0,2301327778.0,9814661700.0,0.009430534014228937
2021-05-19,20.73,21.04,20.69,20.79,80658372.0,2003739445.0,9814661700.0,0.008218151013804175
2021-05-20,20.78,21.2,20.72,21.02,110911508.0,2771628425.0,9814661700.0,0.01130059408975859
2021-05-21,21.04,21.1,20.64,20.64,82748062.0,2049817658.0,9814661700.0,0.008431066146681347
2021-05-24,20.8,21.37,20.78,21.16,140013126.0,3529483788.0,9814661700.0,0.014265710859906664
2021-05-25,21.16,22.27,21.09,22.0,291182720.0,7609292958.0,9814661700.0,0.029668136192610692
2021-05-26,22.05,22.28,21.67,21.71,194085708.0,5075432827.0,9814661700.0,0.019775078747747362
2021-05-27,21.7,21.99,21.58,21.74,111909739.0,2898121527.0,9814661700.0,0.011402302231160958
2021-05-28,21.74,22.23,21.58,21.96,139290043.0,3632519021.0,9814661700.0,0.014192037103021086
2021-05-31,21.96,21.96,21.67,21.9,92405431.0,2401854963.0,9814661700.0,0.009415039847985794
2021-06-01,21.8,21.8,21.33,21.62,104695173.0,2688762186.0,9814661700.0,0.010667221774949207
2021-06-02,21.62,21.74,21.09,21.14,97646648.0,2484072248.0,9814661700.0,0.009949058967564822
2021-06-03,21.24,21.52,21.1,21.12,78228892.0,1985269578.0,9814661700.0,0.007970615227624198
2021-06-04,21.02,22.19,20.97,21.42,136771857.0,3497660080.0,9814661700.0,0.01393546320603185
2021-06-07,21.62,22.31,21.45,21.86,136612391.0,3569513962.0,9814661700.0,0.013919215473315805
2021-06-08,21.74,22.18,21.64,21.74,109286352.0,2852858224.0,9814661700.0,0.011135009574502195
2021-06-09,21.79,21.94,21.45,21.58,72410243.0,1869766952.0,9814661700.0,0.007377762495878997
2021-06-10,21.48,21.86,21.48,21.53,81987740.0,2115225804.0,9814661700.0,0.008353598168340332
2021-06-11,21.49,21.6,20.81,20.92,129016416.0,3247154543.0,9814661700.0,0.013145273871232871
2021-06-15,20.89,20.95,20.55,20.62,79246445.0,1950889196.0,9814661700.0,0.008074292056342604
2021-06-16,20.57,20.8,20.55,20.68,64021985.0,1576132967.0,9814661700.0,0.006523096460879543
2021-06-17,20.62,20.75,20.46,20.59,59939235.0,1472184418.0,9814661700.0,0.006107111669473029
2021-06-18,20.54,20.8,20.43,20.68,75679518.0,1862777564.0,9814661700.0,0.007710863635778704
2021-06-21,20.72,20.93,20.54,20.55,76188065.0,1879519795.0,9814661700.0,0.00776267866675425
2021-06-22,20.63,20.8,20.52,20.69,60920940.0,1500322603.0,9814661700.0,0.006207136003475291
2021-06-23,20.7,20.93,20.57,20.77,72418519.0,1790898068.0,9814661700.0,0.007378605724128015
2021-06-24,20.8,21.17,20.76,20.97,86781281.0,2169644850.0,9814661700.0,0.008842004304641493
2021-06-25,21.04,21.69,20.89,21.4,165826722.0,4221097987.0,9814661700.0,0.016895816388658613
2021-06-28,21.47,21.47,21.02,21.08,94077611.0,2371759538.0,9814661700.0,0.009585415562515007
2021-06-29,21.09,21.18,20.78,20.8,78454857.0,1957833732.0,9814661700.0,0.007993638435851538
